origin,development,lag,claim,premium
2011/09/30,2013/03/31,6,7416.58365,15231.7602
2011/09/30,2013/06/30,7,7768.218634,15231.7602
2011/09/30,2013/09/30,8,8116.935629,15231.7602
2011/09/30,2013/12/31,9,7775.496165,15231.7602
2011/09/30,2014/03/31,10,7907.968167,15231.7602
2011/09/30,2014/06/30,11,7946.192646,15231.7602
2011/09/30,2014/09/30,12,7905.085056,15231.7602
2011/09/30,2014/12/31,13,7503.623394,15231.7602
2011/12/31,2011/12/31,0,3654.86707,11990.0202
2011/12/31,2012/03/31,1,4337.501863,11990.0202
2011/12/31,2012/06/30,2,3999.759293,11990.0202
2011/12/31,2012/09/30,3,4567.848528,11990.0202
2011/12/31,2012/12/31,4,6659.162338,11990.0202
2011/12/31,2013/03/31,5,6570.506657,11990.0202
2011/12/31,2013/06/30,6,6598.896005,11990.0202
2011/12/31,2013/09/30,7,6949.194062,11990.0202
2011/12/31,2013/12/31,8,7302.991379,11990.0202
2011/12/31,2014/03/31,9,7384.113769,11990.0202
2011/12/31,2014/06/30,10,8192.291796,11990.0202
2011/12/31,2014/09/30,11,8634.616914,11990.0202
2011/12/31,2014/12/31,12,8644.114906,11990.0202
2012/03/31,2012/03/31,0,1202.803924,11731.1402
2012/03/31,2012/06/30,1,2897.120245,11731.1402
2012/03/31,2012/09/30,2,3288.560769,11731.1402
2012/03/31,2012/12/31,3,2418.360967,11731.1402
2012/03/31,2013/03/31,4,2197.326288,11731.1402
2012/03/31,2013/06/30,5,3144.428441,11731.1402
2012/03/31,2013/09/30,6,3153.228906,11731.1402
2012/03/31,2013/12/31,7,3073.071429,11731.1402
2012/03/31,2014/03/31,8,3108.656931,11731.1402
2012/03/31,2014/06/30,9,2366.918351,11731.1402
2012/03/31,2014/09/30,10,1991.509322,11731.1402
2012/03/31,2014/12/31,11,2082.80398,11731.1402
2012/06/30,2012/06/30,0,1110.253717,11502.8702
2012/06/30,2012/09/30,1,2110.96082,11502.8702
2012/06/30,2012/12/31,2,3328.017546,11502.8702
2012/06/30,2013/03/31,3,5474.017472,11502.8702
2012/06/30,2013/06/30,4,5593.375966,11502.8702
2012/06/30,2013/09/30,5,5660.38506,11502.8702
2012/06/30,2013/12/31,6,4710.016155,11502.8702
2012/06/30,2014/03/31,7,4873.516482,11502.8702
2012/06/30,2014/06/30,8,4568.569306,11502.8702
2012/06/30,2014/09/30,9,4547.131976,11502.8702
2012/06/30,2014/12/31,10,4600.667173,11502.8702
2012/09/30,2012/09/30,0,775.7081453,13316.5402
2012/09/30,2012/12/31,1,3290.351088,13316.5402
2012/09/30,2013/03/31,2,6314.549126,13316.5402
2012/09/30,2013/06/30,3,7099.383249,13316.5402
2012/09/30,2013/09/30,4,7206.38389,13316.5402
2012/09/30,2013/12/31,5,6951.123887,13316.5402
2012/09/30,2014/03/31,6,6910.562692,13316.5402
2012/09/30,2014/06/30,7,6848.320033,13316.5402
2012/09/30,2014/09/30,8,6906.168272,13316.5402
2012/09/30,2014/12/31,9,6825.708533,13316.5402
2012/12/31,2012/12/31,0,1857.653892,14269.7402
2012/12/31,2013/03/31,1,3064.352342,14269.7402
2012/12/31,2013/06/30,2,3964.894568,14269.7402
2012/12/31,2013/09/30,3,3906.174421,14269.7402
2012/12/31,2013/12/31,4,4058.235306,14269.7402
2012/12/31,2014/03/31,5,4269.934748,14269.7402
2012/12/31,2014/06/30,6,4018.813405,14269.7402
2012/12/31,2014/09/30,7,3867.275665,14269.7402
2012/12/31,2014/12/31,8,5107.385658,14269.7402
2013/03/31,2013/03/31,0,1607.706719,15193.1202
2013/03/31,2013/06/30,1,4000.340565,15193.1202
2013/03/31,2013/09/30,2,4989.08508,15193.1202
2013/03/31,2013/12/31,3,4800.183144,15193.1202
2013/03/31,2014/03/31,4,4794.533176,15193.1202
2013/03/31,2014/06/30,5,5481.643767,15193.1202
2013/03/31,2014/09/30,6,4777.978535,15193.1202
2013/03/31,2014/12/31,7,4847.149962,15193.1202
2013/06/30,2013/06/30,0,3120.317258,15076.7802
2013/06/30,2013/09/30,1,3906.220923,15076.7802
2013/06/30,2013/12/31,2,7001.938728,15076.7802
2013/06/30,2014/03/31,3,9182.175605,15076.7802
2013/06/30,2014/06/30,4,9679.802988,15076.7802
2013/06/30,2014/09/30,5,7915.826971,15076.7802
2013/06/30,2014/12/31,6,10125.44136,15076.7802
2013/09/30,2013/09/30,0,1186.749178,18804.4802
2013/09/30,2013/12/31,1,1948.716041,18804.4802
2013/09/30,2014/03/31,2,3061.969125,18804.4802
2013/09/30,2014/06/30,3,4515.324745,18804.4802
2013/09/30,2014/09/30,4,4628.405496,18804.4802
2013/09/30,2014/12/31,5,4755.134526,18804.4802
2013/12/31,2013/12/31,0,508.1251647,17929.9502
2013/12/31,2014/03/31,1,1844.156745,17929.9502
2013/12/31,2014/06/30,2,4444.653635,17929.9502
2013/12/31,2014/09/30,3,6455.914597,17929.9502
2013/12/31,2014/12/31,4,7419.199377,17929.9502
2014/03/31,2014/03/31,0,631.9129553,18824.7102
2014/03/31,2014/06/30,1,1950.552862,18824.7102
2014/03/31,2014/09/30,2,2235.318258,18824.7102
2014/03/31,2014/12/31,3,4024.533126,18824.7102
2014/06/30,2014/06/30,0,575.9015377,20181.3402
2014/06/30,2014/09/30,1,3531.009527,20181.3402
2014/06/30,2014/12/31,2,8147.766322,20181.3402
2014/09/30,2014/09/30,0,1548.602932,20891.3602
2014/09/30,2014/12/31,1,4806.751524,20891.3602
2014/12/31,2014/12/31,0,1877.010266,23653.9902
