origin,development,lag,claim,premium
2010/09/30,2011/03/31,2,17972.3044,54577.09641
2010/09/30,2011/06/30,3,18029.22195,54577.09641
2010/09/30,2011/09/30,4,18099.71051,54577.09641
2010/09/30,2011/12/31,5,17914.79371,54577.09641
2010/09/30,2012/03/31,6,17918.92195,54577.09641
2010/09/30,2012/06/30,7,17802.40586,54577.09641
2010/09/30,2012/09/30,8,17854.41223,54577.09641
2010/09/30,2012/12/31,9,17854.3885,54577.09641
2010/09/30,2013/03/31,10,17867.88833,54577.09641
2010/09/30,2013/06/30,11,17843.83064,54577.09641
2010/09/30,2013/09/30,12,17828.90728,54577.09641
2010/09/30,2013/12/31,13,17828.90728,54577.09641
2010/09/30,2014/03/31,14,17762.30971,54577.09641
2010/09/30,2014/06/30,15,17762.30971,54577.09641
2010/09/30,2014/09/30,16,17754.29048,54577.09641
2010/09/30,2014/12/31,17,17754.29048,54577.09641
2010/12/31,2010/12/31,0,18049.1514,55527.48641
2010/12/31,2011/03/31,1,24586.08129,55527.48641
2010/12/31,2011/06/30,2,24557.61065,55527.48641
2010/12/31,2011/09/30,3,24341.73203,55527.48641
2010/12/31,2011/12/31,4,23850.18645,55527.48641
2010/12/31,2012/03/31,5,23923.40344,55527.48641
2010/12/31,2012/06/30,6,23912.37107,55527.48641
2010/12/31,2012/09/30,7,23959.22899,55527.48641
2010/12/31,2012/12/31,8,23949.21682,55527.48641
2010/12/31,2013/03/31,9,23823.18679,55527.48641
2010/12/31,2013/06/30,10,23921.38677,55527.48641
2010/12/31,2013/09/30,11,23836.0223,55527.48641
2010/12/31,2013/12/31,12,23862.87961,55527.48641
2010/12/31,2014/03/31,13,23862.85588,55527.48641
2010/12/31,2014/06/30,14,23853.15214,55527.48641
2010/12/31,2014/09/30,15,23829.94857,55527.48641
2010/12/31,2014/12/31,16,23829.94857,55527.48641
2011/03/31,2011/03/31,0,22716.20089,56767.61641
2011/03/31,2011/06/30,1,28799.4986,56767.61641
2011/03/31,2011/09/30,2,28139.21703,56767.61641
2011/03/31,2011/12/31,3,26890.42363,56767.61641
2011/03/31,2012/03/31,4,27203.1736,56767.61641
2011/03/31,2012/06/30,5,27014.27091,56767.61641
2011/03/31,2012/09/30,6,26813.00722,56767.61641
2011/03/31,2012/12/31,7,26542.22772,56767.61641
2011/03/31,2013/03/31,8,26363.69308,56767.61641
2011/03/31,2013/06/30,9,26522.72533,56767.61641
2011/03/31,2013/09/30,10,26259.32447,56767.61641
2011/03/31,2013/12/31,11,26256.54858,56767.61641
2011/03/31,2014/03/31,12,26050.51605,56767.61641
2011/03/31,2014/06/30,13,26000.57381,56767.61641
2011/03/31,2014/09/30,14,26000.57381,56767.61641
2011/03/31,2014/12/31,15,26000.57381,56767.61641
2011/06/30,2011/06/30,0,17629.56535,57243.72641
2011/06/30,2011/09/30,1,24164.4074,57243.72641
2011/06/30,2011/12/31,2,23772.50905,57243.72641
2011/06/30,2012/03/31,3,23060.50582,57243.72641
2011/06/30,2012/06/30,4,22775.34865,57243.72641
2011/06/30,2012/09/30,5,22658.66648,57243.72641
2011/06/30,2012/12/31,6,22348.52632,57243.72641
2011/06/30,2013/03/31,7,22241.50044,57243.72641
2011/06/30,2013/06/30,8,22254.90537,57243.72641
2011/06/30,2013/09/30,9,22228.85473,57243.72641
2011/06/30,2013/12/31,10,22228.85473,57243.72641
2011/06/30,2014/03/31,11,22197.63193,57243.72641
2011/06/30,2014/06/30,12,22114.45021,57243.72641
2011/06/30,2014/09/30,13,22062.42012,57243.72641
2011/06/30,2014/12/31,14,22062.42012,57243.72641
2011/09/30,2011/09/30,0,20852.10953,58405.12641
2011/09/30,2011/12/31,1,28044.43353,58405.12641
2011/09/30,2012/03/31,2,27322.34695,58405.12641
2011/09/30,2012/06/30,3,27051.21156,58405.12641
2011/09/30,2012/09/30,4,26749.75495,58405.12641
2011/09/30,2012/12/31,5,26292.91982,58405.12641
2011/09/30,2013/03/31,6,26136.59229,58405.12641
2011/09/30,2013/06/30,7,26133.00973,58405.12641
2011/09/30,2013/09/30,8,26309.78867,58405.12641
2011/09/30,2013/12/31,9,26223.90225,58405.12641
2011/09/30,2014/03/31,10,25942.89704,58405.12641
2011/09/30,2014/06/30,11,25952.4347,58405.12641
2011/09/30,2014/09/30,12,25941.99547,58405.12641
2011/09/30,2014/12/31,13,25940.09743,58405.12641
2011/12/31,2011/12/31,0,21489.49596,59911.59641
2011/12/31,2012/03/31,1,32918.53575,59911.59641
2011/12/31,2012/06/30,2,32872.43704,59911.59641
2011/12/31,2012/09/30,3,32830.06324,59911.59641
2011/12/31,2012/12/31,4,32575.06122,59911.59641
2011/12/31,2013/03/31,5,32552.94902,59911.59641
2011/12/31,2013/06/30,6,32536.26997,59911.59641
2011/12/31,2013/09/30,7,32443.52686,59911.59641
2011/12/31,2013/12/31,8,32453.46786,59911.59641
2011/12/31,2014/03/31,9,32324.49587,59911.59641
2011/12/31,2014/06/30,10,32324.49587,59911.59641
2011/12/31,2014/09/30,11,32495.50951,59911.59641
2011/12/31,2014/12/31,12,32474.15653,59911.59641
2012/03/31,2012/03/31,0,18254.16372,60339.49641
2012/03/31,2012/06/30,1,29871.29953,60339.49641
2012/03/31,2012/09/30,2,30149.22042,60339.49641
2012/03/31,2012/12/31,3,29904.39665,60339.49641
2012/03/31,2013/03/31,4,30122.22077,60339.49641
2012/03/31,2013/06/30,5,30281.72752,60339.49641
2012/03/31,2013/09/30,6,30003.61683,60339.49641
2012/03/31,2013/12/31,7,30047.31926,60339.49641
2012/03/31,2014/03/31,8,29792.98155,60339.49641
2012/03/31,2014/06/30,9,29747.97422,60339.49641
2012/03/31,2014/09/30,10,29722.30319,60339.49641
2012/03/31,2014/12/31,11,29755.30541,60339.49641
2012/06/30,2012/06/30,0,21811.61752,61308.49641
2012/06/30,2012/09/30,1,29825.69906,61308.49641
2012/06/30,2012/12/31,2,28046.97216,61308.49641
2012/06/30,2013/03/31,3,27959.59103,61308.49641
2012/06/30,2013/06/30,4,28009.27229,61308.49641
2012/06/30,2013/09/30,5,27812.51645,61308.49641
2012/06/30,2013/12/31,6,27604.58588,61308.49641
2012/06/30,2014/03/31,7,27430.53538,61308.49641
2012/06/30,2014/06/30,8,27502.7559,61308.49641
2012/06/30,2014/09/30,9,27206.96969,61308.49641
2012/06/30,2014/12/31,10,27183.78984,61308.49641
2012/09/30,2012/09/30,0,25062.3239,60262.30641
2012/09/30,2012/12/31,1,35858.55629,60262.30641
2012/09/30,2013/03/31,2,36143.49993,60262.30641
2012/09/30,2013/06/30,3,35174.40683,60262.30641
2012/09/30,2013/09/30,4,34845.02526,60262.30641
2012/09/30,2013/12/31,5,34032.33087,60262.30641
2012/09/30,2014/03/31,6,33252.09301,60262.30641
2012/09/30,2014/06/30,7,33128.10338,60262.30641
2012/09/30,2014/09/30,8,32078.79425,60262.30641
2012/09/30,2014/12/31,9,32282.07462,60262.30641
2012/12/31,2012/12/31,0,27478.65076,60512.84641
2012/12/31,2013/03/31,1,41905.36413,60512.84641
2012/12/31,2013/06/30,2,42866.65153,60512.84641
2012/12/31,2013/09/30,3,42488.20556,60512.84641
2012/12/31,2013/12/31,4,42368.36789,60512.84641
2012/12/31,2014/03/31,5,41576.12491,60512.84641
2012/12/31,2014/06/30,6,41451.42351,60512.84641
2012/12/31,2014/09/30,7,40987.37582,60512.84641
2012/12/31,2014/12/31,8,41403.85382,60512.84641
2013/03/31,2013/03/31,0,26771.0842,62668.15641
2013/03/31,2013/06/30,1,40483.56414,62668.15641
2013/03/31,2013/09/30,2,39967.65244,62668.15641
2013/03/31,2013/12/31,3,40057.5722,62668.15641
2013/03/31,2014/03/31,4,40010.85663,62668.15641
2013/03/31,2014/06/30,5,38822.58706,62668.15641
2013/03/31,2014/09/30,6,38480.74959,62668.15641
2013/03/31,2014/12/31,7,38506.08846,62668.15641
2013/06/30,2013/06/30,0,20361.60787,63109.32641
2013/06/30,2013/09/30,1,26804.96426,63109.32641
2013/06/30,2013/12/31,2,26388.29646,63109.32641
2013/06/30,2014/03/31,3,26454.27717,63109.32641
2013/06/30,2014/06/30,4,26380.03998,63109.32641
2013/06/30,2014/09/30,5,26321.22438,63109.32641
2013/06/30,2014/12/31,6,26310.42926,63109.32641
2013/09/30,2013/09/30,0,19766.45289,62933.52641
2013/09/30,2013/12/31,1,29064.96359,62933.52641
2013/09/30,2014/03/31,2,28266.90785,62933.52641
2013/09/30,2014/06/30,3,27855.69692,62933.52641
2013/09/30,2014/09/30,4,27475.28173,62933.52641
2013/09/30,2014/12/31,5,27402.4918,62933.52641
2013/12/31,2013/12/31,0,27034.74604,63694.44641
2013/12/31,2014/03/31,1,43552.72275,63694.44641
2013/12/31,2014/06/30,2,45623.39232,63694.44641
2013/12/31,2014/09/30,3,45858.20392,63694.44641
2013/12/31,2014/12/31,4,45471.02695,63694.44641
2014/03/31,2014/03/31,0,19600.13691,64467.46641
2014/03/31,2014/06/30,1,35431.71023,64467.46641
2014/03/31,2014/09/30,2,37810.95408,64467.46641
2014/03/31,2014/12/31,3,38378.89588,64467.46641
2014/06/30,2014/06/30,0,22220.45589,66842.73641
2014/06/30,2014/09/30,1,35361.36403,66842.73641
2014/06/30,2014/12/31,2,38685.95172,66842.73641
2014/09/30,2014/09/30,0,22583.36164,68593.77641
2014/09/30,2014/12/31,1,34819.30679,68593.77641
2014/12/31,2014/12/31,0,25472.84679,69620.50641
